level1,level2,level3,level4
学習費総額,学校教育費,学校教育費,入学金・入園料
学習費総額,学校教育費,学校教育費,入学時に納付した施設整備費等
学習費総額,学校教育費,学校教育費,入学検定料
学習費総額,学校教育費,学校教育費,授業料
学習費総額,学校教育費,学校教育費,施設整備費等
学習費総額,学校教育費,学校教育費,修学旅行費
学習費総額,学校教育費,学校教育費,校外学習費
学習費総額,学校教育費,学校教育費,学級・児童会・生徒会費
学習費総額,学校教育費,学校教育費,その他の学校納付金
学習費総額,学校教育費,学校教育費,PTA会費
学習費総額,学校教育費,学校教育費,後援会費
学習費総額,学校教育費,学校教育費,寄附金
学習費総額,学校教育費,学校教育費,教科書費・教科書以外の図書費
学習費総額,学校教育費,学校教育費,学用品・実験実習材料費
学習費総額,学校教育費,学校教育費,教科外活動費
学習費総額,学校教育費,学校教育費,通学費
学習費総額,学校教育費,学校教育費,制服
学習費総額,学校教育費,学校教育費,通学用品費
学習費総額,学校教育費,学校教育費,その他
学習費総額,学校給食費,学校給食費,学校給食費
学習費総額,学校外活動費,補助学習費,家庭内学習費
学習費総額,学校外活動費,補助学習費,通信教育・家庭教師費
学習費総額,学校外活動費,補助学習費,学習塾費
学習費総額,学校外活動費,補助学習費,その他
学習費総額,学校外活動費,その他の学校外活動費,体験活動・地域活動
学習費総額,学校外活動費,その他の学校外活動費,芸術文化活動
学習費総額,学校外活動費,その他の学校外活動費,スポーツ・レクリエーション活動
学習費総額,学校外活動費,その他の学校外活動費,国際交流体験活動
学習費総額,学校外活動費,その他の学校外活動費,教養・その他
